MARRA218,Palmeraie Quad Adventures,Marrakech,adventure,"Balades en quad à travers la palmeraie.",medium,2,afternoon,"adventure,quad,nature","Porter lunettes et foulard."
MARRA219,Palmeraie Camel Ride,Marrakech,adventure,"Balade à dos de chameau dans la palmeraie.",medium,1.5,afternoon,"camel,adventure,palmeraie","Parfait pour photos."
MARRA220,Tiskiwin Museum,Marrakech,culture,"Musée dédié aux arts sahariens et berbères.",medium,1.5,morning,"berber,art,history","Peu fréquenté, très calme."
MARRA221,Boucharouite Museum,Marrakech,culture,"Musée consacré aux tapis boucharouite.",low,1,afternoon,"carpet,art,traditional","Petit mais charmant."
MARRA222,Kasbah Mosque,Marrakech,religion,"Mosquée historique dans la Kasbah.",free,0.5,morning,"mosque,architecture,heritage","Respecter zones d’accès."
MARRA223,Heritage Museum,Marrakech,culture,"Musée familial avec bijoux, poteries et costumes.",low,1,morning,"jewelry,tradition,art","Très authentique."
MARRA224,Henna Art Café,Marrakech,experience,"Lieu artistique proposant henné naturel et café culturel.",low,1.5,afternoon,"henna,cafe,art","Demander henné 100% naturel."
MARRA225,Fantasia Chez Ali,Marrakech,show,"Spectacle marocain avec cavaliers et dîner.",high,3,night,"show,traditional,dinner","Réserver à l’avance."
MARRA226,Bab El Khemis Market,Marrakech,shopping,"Grand marché aux puces avec antiquités et meubles.",low,2,morning,"market,antiques,local","Meilleur jour : jeudi."
MARRA227,Souk Zrabi,Marrakech,shopping,"Souk des tapis berbères et orientaux.",medium,1.5,afternoon,"carpet,berber,shopping","Comparer avant achat."
MARRA228,Souk Fekharine,Marrakech,shopping,"Marché spécialisé en poterie.",low,1,morning,"pottery,craft,traditional","Emballer soigneusement."
MARRA229,Souk Sebbaghine,Marrakech,shopping,"Souk des teinturiers célèbre pour ses bains colorés.",low,1,afternoon,"colors,photo,traditional","Meilleur moment : matin."
MARRA230,Place des Épices,Marrakech,shopping,"Petite place dédiée aux épices et produits naturels.",low,1,morning,"spices,market,aromas","Éviter la foule à midi."
MARRA231,Café Argana Rooftop,Marrakech,food,"Café légendaire avec vue sur Jemaa el-Fna.",medium,1,evening,"view,rooftop,iconic","Toujours beaucoup de monde."
MARRA232,Riad Enchanté Rooftop,Marrakech,view,"Rooftop calme avec belle vue sur la médina.",medium,1,sunset,"view,relax,cafe","Parfait pour photos."
MARRA233,La Mamounia Gardens,Marrakech,luxe,"Jardins de l’hôtel mythique La Mamounia.",medium,1.5,afternoon,"luxury,nature,iconic","Entrée payante pour les jardins."
MARRA234,Carré Eden Mall,Marrakech,shopping,"Centre commercial moderne avec boutiques et restaurants.",medium,2,afternoon,"shopping,modern,mall","Bon pour climatisation."
MARRA235,PLM Guéliz Building,Marrakech,architecture,"Bâtiment historique art déco.",free,0.5,morning,"architecture,artdeco,history","Spot photo discret."
MARRA236,Station de Train ONCF Guéliz,Marrakech,architecture,"Gare moderne en marbre et verre.",free,0.5,afternoon,"architecture,modern,travel","Spot photo populaire."
MARRA237,Théâtre Royal de Marrakech,Marrakech,culture,"Grand théâtre prestigieux.",low,1,afternoon,"theatre,art,architecture","Vérifier horaires."
MARRA238,Riad Kniza Rooftop,Marrakech,view,"Rooftop calme avec belle vue sur la médina.",medium,1,sunset,"view,relax,cafe","Photos parfaites."
MARRA239,Maison Tiskiwin Terrace,Marrakech,view,"Terrasse panoramique du musée Tiskiwin.",low,0.5,morning,"view,panorama,quiet","Prendre boisson fraîche."
MARRA240,Medina Tanneries Viewpoint,Marrakech,photo,"Point de vue sur les tanneries traditionnelles.",free,0.3,morning,"photo,tannery,local","Apporter foulard."
MARRA241,Majorelle Street Art Wall,Marrakech,photo,"Mur coloré parfait pour photos.",free,0.2,afternoon,"streetart,photo,color","Meilleure lumière l’après-midi."
MARRA242,Guéliz Art District,Marrakech,culture,"Quartier moderne avec galeries d’art.",free,2,afternoon,"art,gallery,modern","Explorer à pied."
MARRA243,Café Clock,Marrakech,food,"Café culturel avec concerts et ateliers.",medium,1.5,evening,"cafe,culture,music","Essayez le camel burger."
MARRA244,Riad Yasmine Rooftop,Marrakech,view,"Rooftop avec piscine et vue panoramique.",high,1,sunset,"view,relax,pool","Photos coucher de soleil."
MARRA245,Souk Haddadine,Marrakech,shopping,"Souk des forgerons traditionnels.",low,1,afternoon,"metal,craft,tools","Attention aux étincelles."
MARRA246,Souk Kimakhine,Marrakech,shopping,"Souk des instruments de musique traditionnels.",low,1,morning,"music,instruments,craft","Tester instruments avant achat."
MARRA247,Souk des Bijoutiers,Marrakech,shopping,"Souk des bijoux traditionnels en argent.",medium,1.5,afternoon,"jewelry,silver,craft","Vérifier qualité argent."
MARRA248,Souk Smarine,Marrakech,shopping,"Souk central avec artisanat et vêtements.",low,1.5,afternoon,"market,clothes,traditional","Négocier prix."
MARRA249,Jemaa el-Fna Food Stalls,Marrakech,food,"Stands de nourriture traditionnelle.",low,2,evening,"food,street,local","Goûter spécialités locales."
MARRA250,Nomad Restaurant,Marrakech,food,"Restaurant moderne sur terrasse avec vue.",high,1.5,sunset,"restaurant,view,modern","Réserver coucher soleil."
MARRA251,Café des Épices,Marrakech,food,"Petit café avec terrasse.",medium,1,afternoon,"cafe,local,food","Pause agréable."
MARRA252,Le Salama,Marrakech,food,"Restaurant avec cuisine marocaine et internationale.",medium,1.5,evening,"restaurant,food,international","Ambiance animée le soir."
MARRA253,Riad Kniza,Marrakech,luxe,"Riad historique avec restaurant gastronomique.",high,2,evening,"luxury,riad,food","Dîner romantique, réserver."
MARRA254,Hammam Ziani,Marrakech,spa,"Hammam populaire à prix accessible.",low,1.5,afternoon,"hammam,local,relax","Très fréquenté."
MARRA255,Hammam Mouassine,Marrakech,spa,"Hammam traditionnel.",low,1,evening,"hammam,traditional,local","Apporter savon noir."
MARRA256,Hammam Dar El Bacha,Marrakech,spa,"Hammam luxueux dans le quartier Dar El Bacha.",medium,1.5,afternoon,"hammam,luxury,relax","Réserver haute saison."
MARRA257,Spa Les Bains de Marrakech,Marrakech,spa,"Spa avec hammam et massages.",high,2,afternoon,"spa,relax,hammam","Réserver."
MARRA258,Spa Royal Mansour,Marrakech,spa,"Spa luxueux mondialement connu.",very_high,2,afternoon,"spa,luxury,wellness","Prix élevé."
MARRA259,La Perle Sky Lounge,Marrakech,nightlife,"Bar rooftop luxueux avec vue.",high,2,night,"rooftop,nightlife,luxury","Tenue correcte exigée."
MARRA260,555 Famous Club,Marrakech,nightlife,"Club avec DJs internationaux.",high,3,night,"club,music,party","Réserver table avant."
MARRA261,Comptoir Darna,Marrakech,nightlife,"Restaurant et bar animé.",high,2.5,night,"restaurant,show,party","Ambiance festive garantie."
MARRA262,Lotus Club,Marrakech,nightlife,"Dîner-spectacle avec danseuses.",high,3,night,"show,restaurant,nightlife","Ambiance chic."
MARRA263,Hivernage District,Marrakech,nightlife,"Quartier des clubs et hôtels de luxe.",free,2,night,"luxury,nightlife,walk","Circulation dense le soir."
MARRA264,Avenue Mohammed VI Walk,Marrakech,walk,"Grande avenue pour balade.",free,1,evening,"walk,modern,relax","Coucher de soleil magnifique."
MARRA265,Ménara Mall,Marrakech,shopping,"Centre commercial moderne avec boutiques et restaurants.",medium,2,afternoon,"shopping,food,mall","Fréquenté le weekend."
MARRA266,Riad Be Marrakech Rooftop,Marrakech,view,"Terrasse avec piscine et vue sur les toits.",medium,1,sunset,"view,relax,photo","Parfait pour apéritif."
MARRA267,Carré Eden Mall,Marrakech,shopping,"Centre commercial moderne proche de Guéliz.",medium,2,afternoon,"shopping,modern,mall","Parking facile."
MARRA268,Palmeraie Golf Palace,Marrakech,sport,"Golf 27 trous dans la Palmeraie.",high,4,morning,"golf,luxury,nature","Pour joueurs expérimentés."
MARRA269,Atlas Golf Marrakech,Marrakech,sport,"Golf moderne au cœur des palmiers.",high,4,morning,"golf,nature,sport","Calme exceptionnel."
MARRA270,Amelkis Golf Club,Marrakech,sport,"Terrain de golf de luxe face à l’Atlas.",high,4,morning,"golf,luxury,sport","Réserver relai."
MARRA271,Piscine Majorelle Club,Marrakech,loisirs,"Piscine privée idéale en été.",medium,3,afternoon,"pool,relax,summer","Apporter serviette."
MARRA272,Terres d’Amanar,Marrakech,adventure,"Parc d’aventure avec tyroliennes.",high,4,morning,"zipline,adventure,nature","Chaussures fermées conseillées."
MARRA273,Oukaimeden,Marrakech,excursion,"Station de ski de l’Atlas.",high,6,morning,"ski,mountain,adventure","Vérifier météo."
MARRA274,Ourika Valley,Marrakech,excursion,"Vallée avec cascades et villages berbères.",medium,6,morning,"waterfall,nature,berber","Chaussures antidérapantes."
MARRA275,Desert d’Agafay,Marrakech,experience,"Désert rocheux pour activités et dîner.",high,5,sunset,"desert,camel,quad","Meilleur moment : coucher du soleil."
MARRA276,Bab El Khemis Market,Marrakech,shopping,"Grand marché aux puces.",low,2,morning,"market,antiques,local","Jeudi meilleur jour."
MARRA277,Souk Zrabi,Marrakech,shopping,"Souk des tapis berbères et orientaux.",medium,1.5,afternoon,"carpet,berber,shopping","Comparer avant d’acheter."
MARRA278,Souk Fekharine,Marrakech,shopping,"Marché spécialisé en poterie.",low,1,morning,"pottery,craft,traditional","Emballer soigneusement."
MARRA279,Souk Sebbaghine,Marrakech,shopping,"Souk des teinturiers.",low,1,afternoon,"colors,photo,traditional","Meilleur matin."
MARRA280,Place des Épices,Marrakech,shopping,"Place dédiée aux épices.",low,1,morning,"spices,market,aromas","Éviter la foule."
MARRA281,Café Argana Rooftop,Marrakech,food,"Café légendaire avec vue sur Jemaa el-Fna.",medium,1,evening,"view,rooftop,iconic","Toujours beaucoup de monde."
MARRA282,Nomad Restaurant,Marrakech,food,"Restaurant moderne avec vue sur la médina.",high,1.5,sunset,"restaurant,view,modern","Réserver coucher soleil."
MARRA283,Café des Épices,Marrakech,food,"Petit café avec terrasse.",medium,1,afternoon,"cafe,local,food","Pause agréable."
MARRA284,Le Salama,Marrakech,food,"Cuisine marocaine et internationale.",medium,1.5,evening,"restaurant,food,international","Ambiance animée."
MARRA285,Riad Kniza,Marrakech,luxe,"Riad historique avec restaurant.",high,2,evening,"luxury,riad,food","Dîner romantique."
MARRA286,Hammam Ziani,Marrakech,spa,"Hammam populaire.",low,1.5,afternoon,"hammam,local,relax","Prix accessible."
MARRA287,Hammam Mouassine,Marrakech,spa,"Hammam traditionnel.",low,1,evening,"hammam,traditional,local","Apporter savon noir."
MARRA288,Hammam Dar El Bacha,Marrakech,spa,"Hammam luxueux.",medium,1.5,afternoon,"hammam,luxury,relax","Réserver haute saison."
MARRA289,Spa Les Bains de Marrakech,Marrakech,spa,"Spa avec massages et hammam.",high,2,afternoon,"spa,relax,hammam","Réserver."
MARRA290,Spa Royal Mansour,Marrakech,spa,"Spa luxueux mondialement connu.",very_high,2,afternoon,"spa,luxury,wellness","Prix élevé."
MARRA291,La Perle Sky Lounge,Marrakech,nightlife,"Bar rooftop luxueux.",high,2,night,"rooftop,nightlife,luxury","Tenue correcte exigée."
MARRA292,555 Famous Club,Marrakech,nightlife,"Club avec DJs internationaux.",high,3,night,"club,music,party","Réserver table."
MARRA293,Comptoir Darna,Marrakech,nightlife,"Restaurant et bar animé.",high,2.5,night,"restaurant,show,party","Ambiance festive."
MARRA294,Lotus Club,Marrakech,nightlife,"Dîner-spectacle.",high,3,night,"show,restaurant,nightlife","Ambiance chic."
MARRA295,Hivernage District,Marrakech,nightlife,"Quartier des clubs.",free,2,night,"luxury,nightlife,walk","Circulation dense."
MARRA296,Avenue Mohammed VI Walk,Marrakech,walk,"Grande avenue pour balade.",free,1,evening,"walk,modern,relax","Coucher de soleil magnifique."
MARRA297,Medina Tanneries Viewpoint,Marrakech,photo,"Point de vue sur les tanneries.",free,0.3,morning,"photo,tannery,local","Apporter foulard."
MARRA298,Majorelle Street Art Wall,Marrakech,photo,"Mur coloré parfait pour photos.",free,0.2,afternoon,"streetart,photo,color","Meilleure lumière après-midi."
MARRA299,Guéliz Art District,Marrakech,culture,"Quartier moderne avec galeries d’art.",free,2,afternoon,"art,gallery,modern","Explorer à pied."
MARRA300,Café Clock,Marrakech,food,"Café culturel avec musique et ateliers.",medium,1.5,evening,"cafe,culture,music","Essayez le camel burger."
